parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 228 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 10 | 26 |  | x=(1.30*0) | x 1.30 0 * = | x:nickel 1.30:nickel 0:person *:nickel =:nickel
EXPR: 0 | POS | INT | 10 | 26 | 0 | (1.30*0)=x | 1.30 0 * x = | 1.30:dollar 0:nickel *:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 12 | 26 | - | 1.30=(0*x) | 1.30 0 x * = | 1.30:person 0:person x:nickel *:person =:person
EXPR: 0 | POS | INT | 12 | 26 | 0 | (0/1.30)=x | 0 1.30 / x = | 0:nickel 1.30:dollar /:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 12 | 26 |  | x=(0/1.30) | x 0 1.30 / = | x:person 0:person 1.30:dollar /:person =:person
EXPR: 0 | POS | INT | 12 | 26 | 0 | (1.30*x)=0 | 1.30 x * 0 = | 1.30:person x:nickel *:person 0:person =:person
EXPR: 0 | POS | INT | 12 | 26 | - | 1.30=(x*0) | 1.30 x 0 * = | 1.30:nickel x:nickel 0:person *:nickel =:nickel
EXPR: 0 | POS | INT | 12 | 26 | 0 | (x*1.30)=0 | x 1.30 * 0 = | x:nickel 1.30:dollar *:dollar 0:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 26 | - | (1.30/x)=0 | 1.30 x / 0 = | 1.30:person x:nickel /:person 0:person =:person
EXPR: 0 | POS | INT | 12 | 26 | 0 | (x/1.30)=0 | x 1.30 / 0 = | x:person 1.30:dollar /:person 0:person =:person
EXPR: 0 | POS | INT | 12 | 26 | - | 1.30=(0/x) | 1.30 0 x / = | 1.30:dollar 0:dollar x:nickel /:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 26 | - | (x*0)=1.30 | x 0 * 1.30 = | x:dollar 0:person *:dollar 1.30:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 26 | - | (0*x)=1.30 | 0 x * 1.30 = | 0:person x:dollar *:dollar 1.30:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 26 | 0 | 0=(x/1.30) | 0 x 1.30 / = | 0:nickel x:nickel 1.30:dollar /:nickel =:nickel
EXPR: 0 | POS | INT | 14 | 26 | 0 | 0=(1.30*x) | 0 1.30 x * = | 0:dollar 1.30:dollar x:nickel *:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 26 | - | 0=(1.30/x) | 0 1.30 x / = | 0:dollar 1.30:dollar x:nickel /:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 26 | 0 | 0=(x*1.30) | 0 x 1.30 * = | 0:person x:person 1.30:dollar *:person =:person
EXPR: 0 | POS | INT | 14 | 26 | - | (0/x)=1.30 | 0 x / 1.30 = | 0:dollar x:nickel /:dollar 1.30:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 26 | 1.3 | (1.30-x)=0 | 1.30 x - 0 = | 1.30:nickel x:nickel -:nickel 0:nickel =:nickel
EXPR: 0 | POS | FRA | 22 | 26 | 1.3 | (x-1.30)=0 | x 1.30 - 0 = | x:person 1.30:person -:person 0:person =:person
EXPR: 0 | POS | FRA | 24 | 26 | 1.3 | 0=(1.30-x) | 0 1.30 x - = | 0:dollar 1.30:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 24 | 26 | 1.3 | 0=(x-1.30) | 0 x 1.30 - = | 0:nickel x:nickel 1.30:nickel -:nickel =:nickel
NET 22 unique, non-negative solutions found out of 228 total solutions
