parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 288 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 10 | 11.9 | 14 | (14*1)=x | 14 1 * x = | 14:toothfairy 1:money *:money x:money =:money
EXPR: 0 | POS | INT | 10 | 11.9 | 14 | x=(14*1) | x 14 1 * = | x:money 14:money 1:person *:money =:money
EXPR: 0 | POS | INT | 12 | 11.9 | 14 | 14=(x*1) | 14 x 1 * = | 14:toothfairy x:money 1:toothfairy *:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 12 | 11.9 | 14 | (x/14)=1 | x 14 / 1 = | x:money 14:toothfairy /:money 1:money =:money
EXPR: 0 | POS | INT | 12 | 11.9 | 14 | 14=(1*x) | 14 1 x * = | 14:toothfairy 1:toothfairy x:money *:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 12 | 11.9 | 14 | (14/x)=1 | 14 x / 1 = | 14:person x:money /:person 1:person =:person
EXPR: 0 | POS | INT | 14 | 11.9 | 14 | 1=(14/x) | 1 14 x / = | 1:person 14:person x:money /:person =:person
EXPR: 0 | POS | INT | 14 | 11.9 | 14 | (1*x)=14 | 1 x * 14 = | 1:person x:money *:person 14:person =:person
EXPR: 0 | POS | INT | 14 | 11.9 | 14 | (x*1)=14 | x 1 * 14 = | x:money 1:person *:person 14:person =:person
EXPR: 0 | POS | INT | 14 | 11.9 | 14 | 1=(x/14) | 1 x 14 / = | 1:person x:person 14:toothfairy /:person =:person
EXPR: 0 | POS | INT | 20 | 11.9 | 13 | (14-1)=x | 14 1 - x = | 14:toothfairy 1:toothfairy -:toothfairy x:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 20 | 11.9 | 15 | (14+1)=x | 14 1 + x = | 14:toothfairy 1:toothfairy +:toothfairy x:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 20 | 11.9 | 15 | x=(14+1) | x 14 1 + = | x:money 14:money 1:money +:money =:money
EXPR: 0 | POS | INT | 20 | 11.9 | 13 | x=(14-1) | x 14 1 - = | x:toothfairy 14:toothfairy 1:toothfairy -:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 22 | 11.9 | 13 | 14=(x+1) | 14 x 1 + = | 14:toothfairy x:toothfairy 1:toothfairy +:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 22 | 11.9 | 15 | (x-14)=1 | x 14 - 1 = | x:person 14:person -:person 1:person =:person
EXPR: 0 | POS | INT | 22 | 11.9 | 13 | 14=(1+x) | 14 1 x + = | 14:money 1:money x:money +:money =:money
EXPR: 0 | POS | INT | 22 | 11.9 | 15 | 14=(x-1) | 14 x 1 - = | 14:toothfairy x:toothfairy 1:toothfairy -:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 22 | 11.9 | 13 | (14-x)=1 | 14 x - 1 = | 14:money x:money -:money 1:money =:money
EXPR: 0 | POS | INT | 24 | 11.9 | 13 | (x+1)=14 | x 1 + 14 = | x:person 1:person +:person 14:person =:person
EXPR: 0 | POS | INT | 24 | 11.9 | 13 | 1=(14-x) | 1 14 x - = | 1:toothfairy 14:toothfairy x:toothfairy -:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 24 | 11.9 | 15 | (x-1)=14 | x 1 - 14 = | x:money 1:money -:money 14:money =:money
EXPR: 0 | POS | INT | 24 | 11.9 | 15 | 1=(x-14) | 1 x 14 - = | 1:toothfairy x:toothfairy 14:toothfairy -:toothfairy =:toothfairy
EXPR: 0 | POS | INT | 24 | 11.9 | 13 | (1+x)=14 | 1 x + 14 = | 1:money x:money +:money 14:money =:money
NET 24 unique, non-negative, integer-valued solutions found out of 288 total solutions
