parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 10 | 40 | 25 | ((7*3)+4)=x | 7 3 * 4 + x = | 7:chair 3:minute *:minute 4:minute +:minute x:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 49 | x=(7*(3+4)) | x 7 3 4 + * = | x:minute 7:chair 3:minute 4:minute +:minute *:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 25 | x=((7*3)+4) | x 7 3 * 4 + = | x:minute 7:minute 3:table *:minute 4:minute +:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 19 | x=(7+(3*4)) | x 7 3 4 * + = | x:minute 7:minute 3:table 4:minute *:minute +:minute =:minute
EXPR: 1 | POS | INT | 10 | 40 | 40 | x=((7+3)*4) | x 7 3 + 4 * = | x:minute 7:chair 3:chair +:chair 4:minute *:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 17 | x=((7*3)-4) | x 7 3 * 4 - = | x:minute 7:minute 3:table *:minute 4:minute -:minute =:minute
EXPR: 1 | POS | INT | 10 | 40 | 40 | ((7+3)*4)=x | 7 3 + 4 * x = | 7:table 3:table +:table 4:minute *:minute x:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 17 | ((7*3)-4)=x | 7 3 * 4 - x = | 7:minute 3:table *:minute 4:minute -:minute x:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 16 | x=((7-3)*4) | x 7 3 - 4 * = | x:minute 7:table 3:table -:table 4:minute *:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 16 | ((7-3)*4)=x | 7 3 - 4 * x = | 7:table 3:table -:table 4:minute *:minute x:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 49 | (7*(3+4))=x | 7 3 4 + * x = | 7:chair 3:minute 4:minute +:minute *:minute x:minute =:minute
EXPR: 0 | POS | INT | 10 | 40 | 19 | (7+(3*4))=x | 7 3 4 * + x = | 7:minute 3:table 4:minute *:minute +:minute x:minute =:minute
EXPR: 0 | POS | INT | 12 | 40 | 31 | ((7*4)+3)=x | 7 4 * 3 + x = | 7:chair 4:minute *:minute 3:minute +:minute x:minute =:minute
EXPR: 0 | POS | INT | 12 | 40 | 9 | (7-(x/3))=4 | 7 x 3 / - 4 = | 7:minute x:minute 3:table /:minute -:minute 4:minute =:minute
EXPR: 0 | POS | INT | 12 | 40 | 31 | x=((7*4)+3) | x 7 4 * 3 + = | x:minute 7:chair 4:minute *:minute 3:minute +:minute =:minute
EXPR: 0 | POS | INT | 12 | 40 | 17 | ((7*3)-x)=4 | 7 3 * x - 4 = | 7:minute 3:table *:minute x:minute -:minute 4:minute =:minute
EXPR: 0 | POS | INT | 12 | 40 | 1 | ((7-3)*x)=4 | 7 3 - x * 4 = | 7:chair 3:chair -:chair x:minute *:minute 4:minute =:minute
